fips,county,date,unemployment_rate
48001,Anderson,2025-01-01,4.4
48003,Andrews,2025-01-01,3
48005,Angelina,2025-01-01,4.4
48007,Aransas,2025-01-01,4.8
48009,Archer,2025-01-01,3.8
48011,Armstrong,2025-01-01,2.9
48013,Atascosa,2025-01-01,4.4
48015,Austin,2025-01-01,3.8
48017,Bailey,2025-01-01,4.2
48019,Bandera,2025-01-01,3.9
48021,Bastrop,2025-01-01,3.7
48023,Baylor,2025-01-01,3.2
48025,Bee,2025-01-01,4.9
48027,Bell,2025-01-01,4.6
48029,Bexar,2025-01-01,4
48031,Blanco,2025-01-01,3.4
48033,Borden,2025-01-01,3.3
48035,Bosque,2025-01-01,4.1
48037,Bowie,2025-01-01,4.3
48039,Brazoria,2025-01-01,4.6
48041,Brazos,2025-01-01,3.6
48043,Brewster,2025-01-01,2.9
48045,Briscoe,2025-01-01,3.8
48047,Brooks,2025-01-01,4.2
48049,Brown,2025-01-01,3.9
48051,Burleson,2025-01-01,3.6
48053,Burnet,2025-01-01,3.7
48055,Caldwell,2025-01-01,3.7
48057,Calhoun,2025-01-01,3.4
48059,Callahan,2025-01-01,3.5
48061,Cameron,2025-01-01,5.5
48063,Camp,2025-01-01,4.5
48065,Carson,2025-01-01,2.8
48067,Cass,2025-01-01,5.2
48069,Castro,2025-01-01,2.8
48071,Chambers,2025-01-01,4.8
48073,Cherokee,2025-01-01,4.3
48075,Childress,2025-01-01,2.6
48077,Clay,2025-01-01,3.9
48079,Cochran,2025-01-01,4
48081,Coke,2025-01-01,3.4
48083,Coleman,2025-01-01,3.6
48085,Collin,2025-01-01,3.9
48087,Collingsworth,2025-01-01,3.4
48089,Colorado,2025-01-01,3.7
48091,Comal,2025-01-01,3.7
48093,Comanche,2025-01-01,3.3
48095,Concho,2025-01-01,3.4
48097,Cooke,2025-01-01,3.5
48099,Coryell,2025-01-01,4.7
48101,Cottle,2025-01-01,2.7
48103,Crane,2025-01-01,2.7
48105,Crockett,2025-01-01,3.7
48107,Crosby,2025-01-01,4.3
48109,Culberson,2025-01-01,3.3
48111,Dallam,2025-01-01,2.8
48113,Dallas,2025-01-01,4.2
48115,Dawson,2025-01-01,4.2
48117,Deaf Smith,2025-01-01,3.4
48119,Delta,2025-01-01,4.4
48121,Denton,2025-01-01,3.8
48123,DeWitt,2025-01-01,4.8
48125,Dickens,2025-01-01,4.3
48127,Dimmit,2025-01-01,6.6
48129,Donley,2025-01-01,4.4
48131,Duval,2025-01-01,4.9
48133,Eastland,2025-01-01,5.2
48135,Ector,2025-01-01,3.7
48137,Edwards,2025-01-01,3.4
48139,Ellis,2025-01-01,3.8
48141,El Paso,2025-01-01,4.3
48143,Erath,2025-01-01,3.8
48145,Falls,2025-01-01,4.4
48147,Fannin,2025-01-01,3.8
48149,Fayette,2025-01-01,4
48151,Fisher,2025-01-01,2.9
48153,Floyd,2025-01-01,4.3
48155,Foard,2025-01-01,2.9
48157,Fort Bend,2025-01-01,4.3
48159,Franklin,2025-01-01,3.8
48161,Freestone,2025-01-01,4.7
48163,Frio,2025-01-01,7.9
48165,Gaines,2025-01-01,3.3
48167,Galveston,2025-01-01,4.4
48169,Garza,2025-01-01,6.1
48171,Gillespie,2025-01-01,3.2
48173,Glasscock,2025-01-01,2.8
48175,Goliad,2025-01-01,4.4
48177,Gonzales,2025-01-01,3.6
48179,Gray,2025-01-01,4
48181,Grayson,2025-01-01,3.8
48183,Gregg,2025-01-01,4.9
48185,Grimes,2025-01-01,4.5
48187,Guadalupe,2025-01-01,3.7
48189,Hale,2025-01-01,4.1
48191,Hall,2025-01-01,4.6
48193,Hamilton,2025-01-01,4.5
48195,Hansford,2025-01-01,3.4
48197,Hardeman,2025-01-01,3
48199,Hardin,2025-01-01,4.6
48201,Harris,2025-01-01,4.5
48203,Harrison,2025-01-01,5.1
48205,Hartley,2025-01-01,3.1
48207,Haskell,2025-01-01,4.3
48209,Hays,2025-01-01,3.4
48211,Hemphill,2025-01-01,5
48213,Henderson,2025-01-01,4.6
48215,Hidalgo,2025-01-01,6.3
48217,Hill,2025-01-01,4
48219,Hockley,2025-01-01,3.7
48221,Hood,2025-01-01,4.4
48223,Hopkins,2025-01-01,3.3
48225,Houston,2025-01-01,4.5
48227,Howard,2025-01-01,3.6
48229,Hudspeth,2025-01-01,4
48231,Hunt,2025-01-01,4.2
48233,Hutchinson,2025-01-01,4.5
48235,Irion,2025-01-01,3.1
48237,Jack,2025-01-01,5.7
48239,Jackson,2025-01-01,4.3
48241,Jasper,2025-01-01,6.4
48243,Jeff Davis,2025-01-01,5.3
48245,Jefferson,2025-01-01,6
48247,Jim Hogg,2025-01-01,4.6
48249,Jim Wells,2025-01-01,5.1
48251,Johnson,2025-01-01,3.7
48253,Jones,2025-01-01,3.3
48255,Karnes,2025-01-01,4.3
48257,Kaufman,2025-01-01,4
48259,Kendall,2025-01-01,3.4
48261,Kenedy,2025-01-01,8.2
48263,Kent,2025-01-01,4.2
48265,Kerr,2025-01-01,3.5
48267,Kimble,2025-01-01,3.4
48269,King,2025-01-01,1.9
48271,Kinney,2025-01-01,4.3
48273,Kleberg,2025-01-01,4.5
48275,Knox,2025-01-01,3.5
48277,Lamar,2025-01-01,4.1
48279,Lamb,2025-01-01,3.6
48281,Lampasas,2025-01-01,4.2
48283,La Salle,2025-01-01,6.2
48285,Lavaca,2025-01-01,3.3
48287,Lee,2025-01-01,3.6
48289,Leon,2025-01-01,3.9
48291,Liberty,2025-01-01,5.4
48293,Limestone,2025-01-01,4.5
48295,Lipscomb,2025-01-01,3.4
48297,Live Oak,2025-01-01,4.7
48299,Llano,2025-01-01,4.2
48301,Loving,2025-01-01,1
48303,Lubbock,2025-01-01,3.5
48305,Lynn,2025-01-01,3.4
48307,McCulloch,2025-01-01,4.3
48309,McLennan,2025-01-01,4
48311,McMullen,2025-01-01,4.3
48313,Madison,2025-01-01,4.5
48315,Marion,2025-01-01,6.3
48317,Martin,2025-01-01,3
48319,Mason,2025-01-01,3.6
48321,Matagorda,2025-01-01,5.6
48323,Maverick,2025-01-01,8.8
48325,Medina,2025-01-01,4.3
48327,Menard,2025-01-01,3.1
48329,Midland,2025-01-01,3.1
48331,Milam,2025-01-01,4.2
48333,Mills,2025-01-01,3.1
48335,Mitchell,2025-01-01,3.3
48337,Montague,2025-01-01,4.6
48339,Montgomery,2025-01-01,4.1
48341,Moore,2025-01-01,3.1
48343,Morris,2025-01-01,5.6
48345,Motley,2025-01-01,3.7
48347,Nacogdoches,2025-01-01,4.3
48349,Navarro,2025-01-01,4.6
48351,Newton,2025-01-01,6.2
48353,Nolan,2025-01-01,3.9
48355,Nueces,2025-01-01,4.3
48357,Ochiltree,2025-01-01,3.4
48359,Oldham,2025-01-01,3.6
48361,Orange,2025-01-01,4.8
48363,Palo Pinto,2025-01-01,4.1
48365,Panola,2025-01-01,5.2
48367,Parker,2025-01-01,3.5
48369,Parmer,2025-01-01,2.8
48371,Pecos,2025-01-01,4.1
48373,Polk,2025-01-01,5
48375,Potter,2025-01-01,3.5
48377,Presidio,2025-01-01,6.4
48379,Rains,2025-01-01,3.8
48381,Randall,2025-01-01,3
48383,Reagan,2025-01-01,4.6
48385,Real,2025-01-01,4.4
48387,Red River,2025-01-01,4.5
48389,Reeves,2025-01-01,3.9
48391,Refugio,2025-01-01,5
48393,Roberts,2025-01-01,4.3
48395,Robertson,2025-01-01,4.5
48397,Rockwall,2025-01-01,3.6
48399,Runnels,2025-01-01,3.6
48401,Rusk,2025-01-01,4.8
48403,Sabine,2025-01-01,6.4
48405,San Augustine,2025-01-01,5.8
48407,San Jacinto,2025-01-01,5.4
48409,San Patricio,2025-01-01,4.9
48411,San Saba,2025-01-01,3.5
48413,Schleicher,2025-01-01,4.7
48415,Scurry,2025-01-01,3.8
48417,Shackelford,2025-01-01,3.4
48419,Shelby,2025-01-01,4.7
48421,Sherman,2025-01-01,3
48423,Smith,2025-01-01,4
48425,Somervell,2025-01-01,4.4
48427,Starr,2025-01-01,10.4
48429,Stephens,2025-01-01,4.4
48431,Sterling,2025-01-01,3.1
48433,Stonewall,2025-01-01,2.4
48435,Sutton,2025-01-01,6.3
48437,Swisher,2025-01-01,4.4
48439,Tarrant,2025-01-01,4
48441,Taylor,2025-01-01,3.5
48443,Terrell,2025-01-01,3.1
48445,Terry,2025-01-01,4.1
48447,Throckmorton,2025-01-01,4.9
48449,Titus,2025-01-01,4
48451,Tom Green,2025-01-01,3.4
48453,Travis,2025-01-01,3.5
48455,Trinity,2025-01-01,5.2
48457,Tyler,2025-01-01,6.4
48459,Upshur,2025-01-01,4.6
48461,Upton,2025-01-01,2
48463,Uvalde,2025-01-01,4.2
48465,Val Verde,2025-01-01,5.1
48467,Van Zandt,2025-01-01,4.2
48469,Victoria,2025-01-01,4.1
48471,Walker,2025-01-01,4.3
48473,Waller,2025-01-01,5.1
48475,Ward,2025-01-01,3.7
48477,Washington,2025-01-01,4.1
48479,Webb,2025-01-01,4.4
48481,Wharton,2025-01-01,4.4
48483,Wheeler,2025-01-01,3.5
48485,Wichita,2025-01-01,3.9
48487,Wilbarger,2025-01-01,3.8
48489,Willacy,2025-01-01,5.6
48491,Williamson,2025-01-01,3.6
48493,Wilson,2025-01-01,3.7
48495,Winkler,2025-01-01,3.4
48497,Wise,2025-01-01,3.8
48499,Wood,2025-01-01,4.7
48501,Yoakum,2025-01-01,4
48503,Young,2025-01-01,3.5
48505,Zapata,2025-01-01,8
48507,Zavala,2025-01-01,7.1
48001,Anderson,2025-02-01,4.4
48003,Andrews,2025-02-01,3.1
48005,Angelina,2025-02-01,4.4
48007,Aransas,2025-02-01,4.8
48009,Archer,2025-02-01,3.9
48011,Armstrong,2025-02-01,3
48013,Atascosa,2025-02-01,4.5
48015,Austin,2025-02-01,3.9
48017,Bailey,2025-02-01,4.4
48019,Bandera,2025-02-01,4.1
48021,Bastrop,2025-02-01,3.8
48023,Baylor,2025-02-01,3.1
48025,Bee,2025-02-01,5.1
48027,Bell,2025-02-01,4.7
48029,Bexar,2025-02-01,4.1
48031,Blanco,2025-02-01,3.5
48033,Borden,2025-02-01,3.5
48035,Bosque,2025-02-01,4.2
48037,Bowie,2025-02-01,4.3
48039,Brazoria,2025-02-01,4.6
48041,Brazos,2025-02-01,3.9
48043,Brewster,2025-02-01,3
48045,Briscoe,2025-02-01,3.8
48047,Brooks,2025-02-01,4.2
48049,Brown,2025-02-01,3.9
48051,Burleson,2025-02-01,3.9
48053,Burnet,2025-02-01,3.7
48055,Caldwell,2025-02-01,3.8
48057,Calhoun,2025-02-01,3.4
48059,Callahan,2025-02-01,3.5
48061,Cameron,2025-02-01,5.6
48063,Camp,2025-02-01,4.4
48065,Carson,2025-02-01,3
48067,Cass,2025-02-01,5.2
48069,Castro,2025-02-01,2.8
48071,Chambers,2025-02-01,4.7
48073,Cherokee,2025-02-01,4.3
48075,Childress,2025-02-01,2.5
48077,Clay,2025-02-01,4
48079,Cochran,2025-02-01,3.9
48081,Coke,2025-02-01,3.5
48083,Coleman,2025-02-01,3.7
48085,Collin,2025-02-01,4
48087,Collingsworth,2025-02-01,3.5
48089,Colorado,2025-02-01,3.8
48091,Comal,2025-02-01,3.8
48093,Comanche,2025-02-01,3.2
48095,Concho,2025-02-01,3.7
48097,Cooke,2025-02-01,3.5
48099,Coryell,2025-02-01,4.8
48101,Cottle,2025-02-01,2.9
48103,Crane,2025-02-01,2.8
48105,Crockett,2025-02-01,3.7
48107,Crosby,2025-02-01,4.5
48109,Culberson,2025-02-01,3.6
48111,Dallam,2025-02-01,2.9
48113,Dallas,2025-02-01,4.3
48115,Dawson,2025-02-01,4.3
48117,Deaf Smith,2025-02-01,3.6
48119,Delta,2025-02-01,4.1
48121,Denton,2025-02-01,3.9
48123,DeWitt,2025-02-01,4.9
48125,Dickens,2025-02-01,4.2
48127,Dimmit,2025-02-01,7
48129,Donley,2025-02-01,4.3
48131,Duval,2025-02-01,4.8
48133,Eastland,2025-02-01,5.4
48135,Ector,2025-02-01,3.8
48137,Edwards,2025-02-01,3.3
48139,Ellis,2025-02-01,3.9
48141,El Paso,2025-02-01,4.3
48143,Erath,2025-02-01,3.8
48145,Falls,2025-02-01,4.3
48147,Fannin,2025-02-01,4
48149,Fayette,2025-02-01,4.1
48151,Fisher,2025-02-01,2.9
48153,Floyd,2025-02-01,4.4
48155,Foard,2025-02-01,3.2
48157,Fort Bend,2025-02-01,4.4
48159,Franklin,2025-02-01,3.8
48161,Freestone,2025-02-01,4.9
48163,Frio,2025-02-01,7.3
48165,Gaines,2025-02-01,3.3
48167,Galveston,2025-02-01,4.4
48169,Garza,2025-02-01,5.9
48171,Gillespie,2025-02-01,3.3
48173,Glasscock,2025-02-01,2.8
48175,Goliad,2025-02-01,4.5
48177,Gonzales,2025-02-01,3.7
48179,Gray,2025-02-01,4
48181,Grayson,2025-02-01,4
48183,Gregg,2025-02-01,4.7
48185,Grimes,2025-02-01,4.7
48187,Guadalupe,2025-02-01,3.8
48189,Hale,2025-02-01,4.2
48191,Hall,2025-02-01,4.9
48193,Hamilton,2025-02-01,4.5
48195,Hansford,2025-02-01,3.4
48197,Hardeman,2025-02-01,3.2
48199,Hardin,2025-02-01,4.6
48201,Harris,2025-02-01,4.6
48203,Harrison,2025-02-01,5
48205,Hartley,2025-02-01,3.1
48207,Haskell,2025-02-01,4.1
48209,Hays,2025-02-01,3.6
48211,Hemphill,2025-02-01,5
48213,Henderson,2025-02-01,4.7
48215,Hidalgo,2025-02-01,6
48217,Hill,2025-02-01,4
48219,Hockley,2025-02-01,3.9
48221,Hood,2025-02-01,4.5
48223,Hopkins,2025-02-01,3.5
48225,Houston,2025-02-01,4.6
48227,Howard,2025-02-01,3.6
48229,Hudspeth,2025-02-01,3.9
48231,Hunt,2025-02-01,4.3
48233,Hutchinson,2025-02-01,4.6
48235,Irion,2025-02-01,3.7
48237,Jack,2025-02-01,5.7
48239,Jackson,2025-02-01,4.3
48241,Jasper,2025-02-01,6.1
48243,Jeff Davis,2025-02-01,4.8
48245,Jefferson,2025-02-01,5.7
48247,Jim Hogg,2025-02-01,4.6
48249,Jim Wells,2025-02-01,5.3
48251,Johnson,2025-02-01,3.8
48253,Jones,2025-02-01,3.5
48255,Karnes,2025-02-01,4.5
48257,Kaufman,2025-02-01,4.2
48259,Kendall,2025-02-01,3.6
48261,Kenedy,2025-02-01,8.3
48263,Kent,2025-02-01,4.2
48265,Kerr,2025-02-01,3.5
48267,Kimble,2025-02-01,4
48269,King,2025-02-01,2.5
48271,Kinney,2025-02-01,5
48273,Kleberg,2025-02-01,4.4
48275,Knox,2025-02-01,3.8
48277,Lamar,2025-02-01,4.2
48279,Lamb,2025-02-01,3.6
48281,Lampasas,2025-02-01,4.3
48283,La Salle,2025-02-01,5.8
48285,Lavaca,2025-02-01,3.4
48287,Lee,2025-02-01,3.7
48289,Leon,2025-02-01,3.9
48291,Liberty,2025-02-01,5.3
48293,Limestone,2025-02-01,4.6
48295,Lipscomb,2025-02-01,3.4
48297,Live Oak,2025-02-01,4.9
48299,Llano,2025-02-01,4.1
48301,Loving,2025-02-01,1
48303,Lubbock,2025-02-01,3.6
48305,Lynn,2025-02-01,3.4
48307,McCulloch,2025-02-01,4.4
48309,McLennan,2025-02-01,4
48311,McMullen,2025-02-01,4.7
48313,Madison,2025-02-01,4.5
48315,Marion,2025-02-01,5.9
48317,Martin,2025-02-01,3.2
48319,Mason,2025-02-01,3.7
48321,Matagorda,2025-02-01,5.8
48323,Maverick,2025-02-01,8.9
48325,Medina,2025-02-01,4.4
48327,Menard,2025-02-01,3.2
48329,Midland,2025-02-01,3.2
48331,Milam,2025-02-01,4.4
48333,Mills,2025-02-01,3.1
48335,Mitchell,2025-02-01,3.3
48337,Montague,2025-02-01,4.4
48339,Montgomery,2025-02-01,4.2
48341,Moore,2025-02-01,3.1
48343,Morris,2025-02-01,5.4
48345,Motley,2025-02-01,3.6
48347,Nacogdoches,2025-02-01,4.5
48349,Navarro,2025-02-01,4.7
48351,Newton,2025-02-01,5.9
48353,Nolan,2025-02-01,4
48355,Nueces,2025-02-01,4.3
48357,Ochiltree,2025-02-01,3.5
48359,Oldham,2025-02-01,3.5
48361,Orange,2025-02-01,4.6
48363,Palo Pinto,2025-02-01,4.3
48365,Panola,2025-02-01,5.3
48367,Parker,2025-02-01,3.6
48369,Parmer,2025-02-01,2.9
48371,Pecos,2025-02-01,4.1
48373,Polk,2025-02-01,4.9
48375,Potter,2025-02-01,3.6
48377,Presidio,2025-02-01,6.8
48379,Rains,2025-02-01,4
48381,Randall,2025-02-01,3.1
48383,Reagan,2025-02-01,4.7
48385,Real,2025-02-01,4.7
48387,Red River,2025-02-01,4.8
48389,Reeves,2025-02-01,3.9
48391,Refugio,2025-02-01,4.9
48393,Roberts,2025-02-01,4.5
48395,Robertson,2025-02-01,4.4
48397,Rockwall,2025-02-01,3.8
48399,Runnels,2025-02-01,3.6
48401,Rusk,2025-02-01,4.6
48403,Sabine,2025-02-01,6.1
48405,San Augustine,2025-02-01,5.6
48407,San Jacinto,2025-02-01,5.4
48409,San Patricio,2025-02-01,4.9
48411,San Saba,2025-02-01,3.7
48413,Schleicher,2025-02-01,4.8
48415,Scurry,2025-02-01,4
48417,Shackelford,2025-02-01,3.5
48419,Shelby,2025-02-01,4.8
48421,Sherman,2025-02-01,2.9
48423,Smith,2025-02-01,4
48425,Somervell,2025-02-01,4.4
48427,Starr,2025-02-01,9.9
48429,Stephens,2025-02-01,4.4
48431,Sterling,2025-02-01,3.3
48433,Stonewall,2025-02-01,2.6
48435,Sutton,2025-02-01,6.4
48437,Swisher,2025-02-01,5
48439,Tarrant,2025-02-01,4.1
48441,Taylor,2025-02-01,3.6
48443,Terrell,2025-02-01,3.5
48445,Terry,2025-02-01,4.2
48447,Throckmorton,2025-02-01,4.4
48449,Titus,2025-02-01,3.9
48451,Tom Green,2025-02-01,3.5
48453,Travis,2025-02-01,3.6
48455,Trinity,2025-02-01,5.3
48457,Tyler,2025-02-01,6.2
48459,Upshur,2025-02-01,4.6
48461,Upton,2025-02-01,2.1
48463,Uvalde,2025-02-01,4.4
48465,Val Verde,2025-02-01,6.6
48467,Van Zandt,2025-02-01,4.3
48469,Victoria,2025-02-01,4.2
48471,Walker,2025-02-01,4.4
48473,Waller,2025-02-01,5.3
48475,Ward,2025-02-01,3.7
48477,Washington,2025-02-01,4.3
48479,Webb,2025-02-01,4.6
48481,Wharton,2025-02-01,4.4
48483,Wheeler,2025-02-01,3.5
48485,Wichita,2025-02-01,4
48487,Wilbarger,2025-02-01,3.9
48489,Willacy,2025-02-01,5.8
48491,Williamson,2025-02-01,3.7
48493,Wilson,2025-02-01,3.8
48495,Winkler,2025-02-01,3.3
48497,Wise,2025-02-01,3.9
48499,Wood,2025-02-01,5
48501,Yoakum,2025-02-01,3.9
48503,Young,2025-02-01,3.7
48505,Zapata,2025-02-01,7.9
48507,Zavala,2025-02-01,7.1
48001,Anderson,2025-03-01,4.1
48003,Andrews,2025-03-01,2.8
48005,Angelina,2025-03-01,4.1
48007,Aransas,2025-03-01,4.5
48009,Archer,2025-03-01,3.6
48011,Armstrong,2025-03-01,2.7
48013,Atascosa,2025-03-01,4.1
48015,Austin,2025-03-01,3.6
48017,Bailey,2025-03-01,4.2
48019,Bandera,2025-03-01,3.7
48021,Bastrop,2025-03-01,3.5
48023,Baylor,2025-03-01,2.9
48025,Bee,2025-03-01,4.7
48027,Bell,2025-03-01,4.4
48029,Bexar,2025-03-01,3.8
48031,Blanco,2025-03-01,3.3
48033,Borden,2025-03-01,3.6
48035,Bosque,2025-03-01,4
48037,Bowie,2025-03-01,4
48039,Brazoria,2025-03-01,4.3
48041,Brazos,2025-03-01,3.3
48043,Brewster,2025-03-01,2.7
48045,Briscoe,2025-03-01,3.5
48047,Brooks,2025-03-01,4
48049,Brown,2025-03-01,3.6
48051,Burleson,2025-03-01,3.4
48053,Burnet,2025-03-01,3.5
48055,Caldwell,2025-03-01,3.5
48057,Calhoun,2025-03-01,3.1
48059,Callahan,2025-03-01,3.2
48061,Cameron,2025-03-01,6.2
48063,Camp,2025-03-01,4.2
48065,Carson,2025-03-01,2.8
48067,Cass,2025-03-01,4.8
48069,Castro,2025-03-01,2.6
48071,Chambers,2025-03-01,4.4
48073,Cherokee,2025-03-01,4
48075,Childress,2025-03-01,2.4
48077,Clay,2025-03-01,4
48079,Cochran,2025-03-01,4
48081,Coke,2025-03-01,3.3
48083,Coleman,2025-03-01,3.4
48085,Collin,2025-03-01,3.7
48087,Collingsworth,2025-03-01,3.2
48089,Colorado,2025-03-01,3.6
48091,Comal,2025-03-01,3.5
48093,Comanche,2025-03-01,2.9
48095,Concho,2025-03-01,3.4
48097,Cooke,2025-03-01,3.2
48099,Coryell,2025-03-01,4.6
48101,Cottle,2025-03-01,2.6
48103,Crane,2025-03-01,2.5
48105,Crockett,2025-03-01,3.5
48107,Crosby,2025-03-01,4.3
48109,Culberson,2025-03-01,4
48111,Dallam,2025-03-01,2.7
48113,Dallas,2025-03-01,4
48115,Dawson,2025-03-01,4.1
48117,Deaf Smith,2025-03-01,3.2
48119,Delta,2025-03-01,3.9
48121,Denton,2025-03-01,3.6
48123,DeWitt,2025-03-01,4.7
48125,Dickens,2025-03-01,4
48127,Dimmit,2025-03-01,6.5
48129,Donley,2025-03-01,4
48131,Duval,2025-03-01,4.5
48133,Eastland,2025-03-01,4.9
48135,Ector,2025-03-01,3.5
48137,Edwards,2025-03-01,3.2
48139,Ellis,2025-03-01,3.7
48141,El Paso,2025-03-01,4.2
48143,Erath,2025-03-01,3.3
48145,Falls,2025-03-01,4.1
48147,Fannin,2025-03-01,3.7
48149,Fayette,2025-03-01,3.8
48151,Fisher,2025-03-01,2.8
48153,Floyd,2025-03-01,4.2
48155,Foard,2025-03-01,3.1
48157,Fort Bend,2025-03-01,4.1
48159,Franklin,2025-03-01,3.3
48161,Freestone,2025-03-01,4.4
48163,Frio,2025-03-01,6.7
48165,Gaines,2025-03-01,2.9
48167,Galveston,2025-03-01,4.1
48169,Garza,2025-03-01,5.4
48171,Gillespie,2025-03-01,3
48173,Glasscock,2025-03-01,2.8
48175,Goliad,2025-03-01,4.1
48177,Gonzales,2025-03-01,3.4
48179,Gray,2025-03-01,3.8
48181,Grayson,2025-03-01,3.7
48183,Gregg,2025-03-01,4.3
48185,Grimes,2025-03-01,4.4
48187,Guadalupe,2025-03-01,3.6
48189,Hale,2025-03-01,4
48191,Hall,2025-03-01,4.2
48193,Hamilton,2025-03-01,4.1
48195,Hansford,2025-03-01,3.2
48197,Hardeman,2025-03-01,2.9
48199,Hardin,2025-03-01,4.3
48201,Harris,2025-03-01,4.3
48203,Harrison,2025-03-01,4.6
48205,Hartley,2025-03-01,2.8
48207,Haskell,2025-03-01,3.8
48209,Hays,2025-03-01,3.3
48211,Hemphill,2025-03-01,4.8
48213,Henderson,2025-03-01,4.3
48215,Hidalgo,2025-03-01,5.9
48217,Hill,2025-03-01,3.7
48219,Hockley,2025-03-01,3.6
48221,Hood,2025-03-01,4.2
48223,Hopkins,2025-03-01,3.2
48225,Houston,2025-03-01,4.4
48227,Howard,2025-03-01,3.5
48229,Hudspeth,2025-03-01,3.6
48231,Hunt,2025-03-01,4
48233,Hutchinson,2025-03-01,4.1
48235,Irion,2025-03-01,3.2
48237,Jack,2025-03-01,5.4
48239,Jackson,2025-03-01,4.1
48241,Jasper,2025-03-01,5.8
48243,Jeff Davis,2025-03-01,4.6
48245,Jefferson,2025-03-01,5.3
48247,Jim Hogg,2025-03-01,4.6
48249,Jim Wells,2025-03-01,5
48251,Johnson,2025-03-01,3.6
48253,Jones,2025-03-01,3.5
48255,Karnes,2025-03-01,4.1
48257,Kaufman,2025-03-01,4
48259,Kendall,2025-03-01,3.3
48261,Kenedy,2025-03-01,7.4
48263,Kent,2025-03-01,4.7
48265,Kerr,2025-03-01,3.3
48267,Kimble,2025-03-01,3.5
48269,King,2025-03-01,1.9
48271,Kinney,2025-03-01,4.5
48273,Kleberg,2025-03-01,4
48275,Knox,2025-03-01,3.3
48277,Lamar,2025-03-01,3.9
48279,Lamb,2025-03-01,3.4
48281,Lampasas,2025-03-01,4
48283,La Salle,2025-03-01,4.9
48285,Lavaca,2025-03-01,3.1
48287,Lee,2025-03-01,3.6
48289,Leon,2025-03-01,3.5
48291,Liberty,2025-03-01,5
48293,Limestone,2025-03-01,4.2
48295,Lipscomb,2025-03-01,3
48297,Live Oak,2025-03-01,4.6
48299,Llano,2025-03-01,3.7
48301,Loving,2025-03-01,1
48303,Lubbock,2025-03-01,3.3
48305,Lynn,2025-03-01,3.2
48307,McCulloch,2025-03-01,3.9
48309,McLennan,2025-03-01,3.7
48311,McMullen,2025-03-01,4.7
48313,Madison,2025-03-01,4.1
48315,Marion,2025-03-01,5.3
48317,Martin,2025-03-01,3
48319,Mason,2025-03-01,3.4
48321,Matagorda,2025-03-01,5.5
48323,Maverick,2025-03-01,10.7
48325,Medina,2025-03-01,4
48327,Menard,2025-03-01,3.1
48329,Midland,2025-03-01,2.9
48331,Milam,2025-03-01,4.1
48333,Mills,2025-03-01,3
48335,Mitchell,2025-03-01,3.1
48337,Montague,2025-03-01,4
48339,Montgomery,2025-03-01,3.9
48341,Moore,2025-03-01,2.8
48343,Morris,2025-03-01,4.9
48345,Motley,2025-03-01,3.4
48347,Nacogdoches,2025-03-01,4.2
48349,Navarro,2025-03-01,4.4
48351,Newton,2025-03-01,5.9
48353,Nolan,2025-03-01,3.6
48355,Nueces,2025-03-01,4
48357,Ochiltree,2025-03-01,3.1
48359,Oldham,2025-03-01,3.3
48361,Orange,2025-03-01,4.3
48363,Palo Pinto,2025-03-01,3.9
48365,Panola,2025-03-01,4.7
48367,Parker,2025-03-01,3.3
48369,Parmer,2025-03-01,2.9
48371,Pecos,2025-03-01,3.8
48373,Polk,2025-03-01,4.6
48375,Potter,2025-03-01,3.4
48377,Presidio,2025-03-01,6.1
48379,Rains,2025-03-01,3.6
48381,Randall,2025-03-01,2.9
48383,Reagan,2025-03-01,4.1
48385,Real,2025-03-01,3.8
48387,Red River,2025-03-01,4.4
48389,Reeves,2025-03-01,3.5
48391,Refugio,2025-03-01,4.7
48393,Roberts,2025-03-01,4.7
48395,Robertson,2025-03-01,4
48397,Rockwall,2025-03-01,3.5
48399,Runnels,2025-03-01,3.2
48401,Rusk,2025-03-01,4.2
48403,Sabine,2025-03-01,5.6
48405,San Augustine,2025-03-01,5.2
48407,San Jacinto,2025-03-01,5
48409,San Patricio,2025-03-01,4.8
48411,San Saba,2025-03-01,3.5
48413,Schleicher,2025-03-01,4.4
48415,Scurry,2025-03-01,3.5
48417,Shackelford,2025-03-01,3.2
48419,Shelby,2025-03-01,4.7
48421,Sherman,2025-03-01,2.7
48423,Smith,2025-03-01,3.7
48425,Somervell,2025-03-01,3.9
48427,Starr,2025-03-01,9.4
48429,Stephens,2025-03-01,4.1
48431,Sterling,2025-03-01,3.3
48433,Stonewall,2025-03-01,1.9
48435,Sutton,2025-03-01,6.1
48437,Swisher,2025-03-01,4.7
48439,Tarrant,2025-03-01,3.8
48441,Taylor,2025-03-01,3.3
48443,Terrell,2025-03-01,3.1
48445,Terry,2025-03-01,4.1
48447,Throckmorton,2025-03-01,4
48449,Titus,2025-03-01,3.4
48451,Tom Green,2025-03-01,3.1
48453,Travis,2025-03-01,3.3
48455,Trinity,2025-03-01,4.8
48457,Tyler,2025-03-01,5.7
48459,Upshur,2025-03-01,4.2
48461,Upton,2025-03-01,1.8
48463,Uvalde,2025-03-01,4
48465,Val Verde,2025-03-01,4.9
48467,Van Zandt,2025-03-01,3.9
48469,Victoria,2025-03-01,3.8
48471,Walker,2025-03-01,4
